X,Y,Z
0.859058,-0.300908,2.11862
0.564584,-0.174498,2.33711
0.59975,-0.568602,2.3033
0.642182,-0.871512,2.34714
0.624519,-0.928033,2.31535
0.712137,-0.1517,2.26943
0.767087,-0.538467,2.32433
0.734069,-0.738727,2.49273
0.712897,-0.796068,2.42671
0.608696,-0.0915257,2.30839
0.591331,-0.0309732,2.29959
0.505396,0.272808,2.27222
0.376189,0.430218,2.25247
0.404843,0.158131,2.39318
0.428655,-0.0726046,2.52105
0.441221,-0.283812,2.61564
0.457056,-0.367478,2.64927
0.695477,0.238453,2.25868
0.870827,0.0167598,2.25028
0.852249,-0.214667,2.1319
0.833817,-0.296207,2.10046
0.55841,-0.173882,2.35177
0.593377,-0.567014,2.30886
0.638228,-0.881717,2.36072
0.615679,-0.933165,2.31218
0.701062,-0.151961,2.27862
0.752077,-0.5337,2.34588
0.741645,-0.731171,2.51341
0.715187,-0.816685,2.53415
0.596399,-0.0902657,2.32833
0.580875,-0.0293323,2.3191
0.501342,0.27603,2.2914
0.37332,0.431552,2.27106
0.399154,0.156033,2.42624
0.426883,-0.0757429,2.53693
0.448693,-0.28695,2.6305
0.464781,-0.341551,2.64556
0.688863,0.23673,2.27666
0.852741,0.0261753,2.26248
0.821442,-0.207585,2.12236
0.807186,-0.288221,2.08791
0.54539,-0.173214,2.37351
0.586171,-0.564867,2.31527
0.635932,-0.885621,2.36635
0.608525,-0.935651,2.30904
0.685361,-0.151528,2.29541
0.713832,-0.528786,2.36804
0.752643,-0.741094,2.56316
0.709328,-0.829305,2.59562
0.582884,-0.0870341,2.34957
0.570151,-0.0264588,2.33947
0.500378,0.277951,2.31005
0.373642,0.43389,2.28991
0.396176,0.157424,2.44379
0.424727,-0.0771439,2.5479
0.452057,-0.288931,2.63757
0.46397,-0.325522,2.64312
0.684673,0.23569,2.29476
0.839317,0.0314598,2.27449
0.803565,-0.203255,2.11843
0.783732,-0.281039,2.08163
0.529363,-0.170944,2.39872
0.579298,-0.561457,2.32483
0.634234,-0.888205,2.36988
0.603676,-0.937289,2.30659
0.668332,-0.150743,2.31326
0.690376,-0.527867,2.38007
0.67317,-0.798415,2.56315
0.629518,-0.86149,2.51375
0.570689,-0.0856236,2.36933
0.560158,-0.0249374,2.35963
0.501902,0.279792,2.33235
0.376208,0.436858,2.31143
0.393513,0.159678,2.45953
0.420596,-0.0769677,2.55838
0.449262,-0.290346,2.64353
0.454683,-0.310227,2.64061
0.682801,0.232024,2.3196
0.829867,0.0346208,2.28554
0.784119,-0.19635,2.11964
0.758225,-0.271781,2.08036
0.515971,-0.170133,2.4174
0.569815,-0.556685,2.34242
0.631612,-0.891481,2.37232
0.599083,-0.939526,2.30396
0.651219,-0.152097,2.33425
0.665302,-0.53826,2.39728
0.631274,-0.828494,2.59369
0.59443,-0.880267,2.54272
0.559352,-0.0853901,2.38969
0.551235,-0.0247439,2.37995
0.504857,0.27939,2.35243
0.38042,0.438801,2.32909
0.390991,0.162886,2.47475
0.412866,-0.0736238,2.57037
0.437084,-0.28949,2.64796
0.431963,-0.296137,2.64268
0.683818,0.22983,2.34704
0.81971,0.0369334,2.30488
0.76606,-0.190146,2.12612
0.740174,-0.265224,2084
0.5012,-0.170424,2.43788
0.54358,-0.549094,2.36138
0.628324,-0.894415,2.37389
0.595346,-0.941343,2.30191
0.636935,-0.154645,2.35534
0.614225,-0.551702,2.41033
0.584688,-0.857156,2.60844
0.552816,-0.899326,2.53288
0.542408,-0.0885184,2.42669
0.53864,-0.0275354,2.41516
0.510619,0.2775,2.37664
0.385604,0.439595,2.34346
0.389209,0.172099,2.49616
0.392394,-0.0736093,2.6007
0.41142,-0.294922,2.66047
0.408318,-0.330355,2.65734
0.684888,0.226511,2.37034
0.810582,0.0336263,2.33604
0.745489,-0.185147,2.13962
0.71726,-0.260415,2.09707
0.480537,-0.168626,2.46938
0.519887,-0.542534,2.3773
0.623799,-0.895426,2.37483
0.591026,-0.94172,2.30045
0.614478,-0.162664,2.39835
0.585101,-0.559049,2.41899
0.565883,-0.868285,2.6163
0.535941,-0.906811,2.5321
0.534004,-0.0898777,2.44626
0.531769,-0.0289442,2.43533
0.514233,0.275432,2.3975
0.393348,0.441072,2.35973
0.387004,0.181049,2.51888
0.381407,-0.0722994,2.61959
0.386739,-0.299045,2.66263
0.379244,-0.357663,2.66152
0.686079,0.222158,2.39455
0.803741,0.0254251,2.37071
0.730925,-0.184089,2.15823
0.701295,-0.257031,2.11471
0.469815,-0.167362,2.48667
0.50408,-0.532951,2.39594
0.617549,-0.893956,2.3768
0.581207,-0.937415,2.30179
0.6041,-0.166407,2.42069
0.565326,-0.564336,2.42911
0.553946,-0.876119,2.62195
0.524895,-0.912774,2.53293
0.526311,-0.0890827,2.47401
0.525528,-0.0284647,2.46089
0.516066,0.274769,2.41363
0.398806,0.441684,2.37146
0.381838,0.189208,2.54827
0.370258,-0.0685147,2.63806
0.35565,-0.29869,2.66125
0.352988,-0.369143,2.66081
0.685481,0.217536,2.41457
0.79758,0.0178608,2.40392
0.719108,-0.187061,2.19989
0.689175,-0.260766,2.15716
0.457876,-0.163167,2.52028
0.496628,-0.526725,2.41028
0.582707,-0.877547,2.38635
0.548501,-0.922079,2.31196
0.596236,-0.167299,2.4504
0.552885,-0.566632,2.43836
0.545516,-0.882411,2.62664
0.517564,-0.920301,2.53796
0.521535,-0.0890068,2.49244
0.521339,-0.0286287,2.47928
0.51692,0.273392,2.42929
0.402973,0.442513,2.38114
0.378331,0.194713,2.56383
0.355906,-0.0574543,2.66354
0.325329,-0.289992,2.66123
0.323217,-0.344787,2.65581
0.684671,0.212488,2.43469
0.793478,0.00993065,2.43388
0.713922,-0.195061,2.24282
0.682795,-0.268603,2.19719
0.451549,-0.16205,2.53901
0.49143,-0.519729,2.42793
0.559061,-0.868712,2.39941
0.529191,-0.914692,2.32382
0.591489,-0.16842,2.46936
0.535403,-0.563365,2.46802
0.538482,-0.886889,2.63243
0.510229,-0.9274,2.55298
0.516717,-0.0882921,2.51236
0.516865,-0.0282567,2.49872
0.515942,0.272205,2.44507
0.406057,0.443243,2.38886
0.369441,0.200134,2.58476
0.344417,-0.045961,2.68325
0.29709,-0.276159,2.66131
0.294719,-0.322985,2.65112
0.683046,0.208268,2.45488
0.788233,-0.00408692,2.46368
0.714065,-0.210663,2.29579
0.686067,-0.287363,2.25228
0.445128,-0.161258,2558
0.474481,-0.516714,2.44468
0.525597,-0.876524,2.43283
0.497579,-0.923683,2.35816
0.587744,-0.16881,2.4918
0.597276,-0.553639,2.54703
0.536968,-0.89819,2.62867
0.512862,-0.951151,2.54562
0.512817,-0.0867144,2.52952
0.51298,-0.0269859,2.51589
0.513344,0.271792,2.4616
0.40766,0.444412,2.39784
0.359376,0.204499,2.60319
0.327893,-0.0379474,2.7118
0.258672,-0.263215,2.67848
0.268216,-0.310372,2.65382
0.680755,0.20602,2.47434
0.782747,-0.0192594,2.49267
0.719502,-0.23434,2.34717
0.698369,-0.308194,2.31204
0.44004,-0.160399,2.57317
0.461904,-0.520956,2.46275
0.496829,-0.890096,2.47584
0.470383,-0.937722,2.40216
0.585387,-0.167937,2.51104
0.624876,-0.567701,2.6121
0.584902,-0.8782,2.67973
0.61914,-0.930249,2.70872
0.508203,-0.0846772,2.54604
0.508362,-0.025074,2.53234
0.509368,0.273002,2.4777
0.407263,0.446938,2.4087
0.351828,0.207884,2.61534
0.313065,-0.0156664,2.73359
0.244697,-0.242401,2.69029
0.247369,-0.301952,2.65813
0.676779,0.206954,2.49428
0.777609,-0.0270822,2.51721
0.733781,-0.246549,2.41021
0.713826,-0.321578,2.37709
0.434438,-0.159614,2.58794
0.446492,-0.528375,2.48198
0.472225,-0.904736,2.53234
0.51285,-0.98031,2.55119
582,-0.165992,2.5293
0.643577,-0.587036,2.65967
0.587839,-0.924063,2.70734
0.62041,-1.01607,2.70391
0.501998,-0.0835404,2.56221
0.501765,-0.0237349,2.54876
0.500613,0.275648,2.49597
0.404163,0.44998,2.42085
0.345349,0.210516,2.62433
0.304286,-0.01064,2.7458
0.234083,-0.236422,2.69702
0.233812,-0.298396,2.66368
0.668376,0.210794,2.51549
0.773134,-0.0323095,2.53955
0.746567,-0.259868,2.47096
0.731161,-0.33753,2.44137
0.428717,-0.159197,2.60069
0.425272,-0.545957,2.50683
0.46688,-0.915616,2.6038
0.476376,-0.974658,2.56431
0.576495,-0.16413,2.54781
0.640812,-0.596589,2.68625
0.582897,-0.969822,2.73969
0.629722,-1.06499,2.72659
0.496057,-0.0821585,2.57558
0.495175,-0.022116,2.56263
0.490067,0.278723,2.51289
0.395363,0.453988,2.43593
0.326397,0.212581,2.64711
0.298267,-0.00739977,2.75358
0.224199,-0.232124,2.70868
0.216375,-0.293682,2.68806
0.659866,0.213952,2.53027
0.768436,-0.0321256,2.5679
0.754761,-0.271199,2.52885
0.745809,-0.348697,2.50598
0.423178,-0.158486,2.61204
0.406106,-0.565783,2.5333
0.435578,-0.937662,2.64487
0.42247,-0.991857,2.57487
0.571624,-0.162166,2.56168
0.630552,-0.601955,2.69399
0.580555,-0.988182,2.75304
0.627714,-1.08093,2.72541
0.486819,-0.0798428,2.59146
0.484988,-0.0194036,2.57882
0.474595,0.283601,2.53069
0.382405,0.459682,2.45325
0.316511,0.214259,2.65931
0.292193,-0.00541139,2.75974
0.217524,-0.229333,2.71652
0.206691,-0.292147,2.7037
0.650623,0.218027,2.5445
0.765988,-0.0342397,2.59392
0.759447,-0.277049,2.56175
0.759904,-0.354339,2.56118
0.414267,-0.157193,2.62777
0.385733,-0.580813,2.56016
0.405583,-0.952212,2.68545
0.384852,-1.00284,2.61373
0.56416,-0.159297,2.57676
0.620392,-0.606224,2.70144
0.579899,-0.996455,2.76092
0.626006,-1.08785,2.72713
0.477397,-0.0770245,2.60526
0.475257,-0.0164163,2.59246
0.463777,0.287188,2.54338
0.370282,0.465979,2.47131
0.308741,0.215624,2.66837
0.284663,-0.00581645,2.76584
0.211478,-0.22897,2.72534
0.200436,-0.292289,2.71429
0.640898,0.222428,2.55743
0.763568,-0.0314935,2.61829
0.764757,-0.277147,2.5991
0.76858,-0.352086,2.60801
0.404373,-0.155085,2.64333
0.365806,-0.589631,2.58271
0.38891,-0.959907,2.70661
0.361692,-1.00894,2.62741
0.555957,-0.156329,2.58919
0.603462,-0.607705,2.70078
0.576892,-0.994911,2.76365
0.620177,-1.09069,2.72882
0.4681,-0.0738536,2.61633
0.465871,-0.0132708,2.60371
0.453998,0.290032,2.55593
0.360677,0.468321,2.48277
0.300116,0.216141,2.67766
0.271466,-0.00868501,2.77828
0.203463,-0.229877,2.73561
0.195406,-0.295344,2.72456
0.632218,0.225728,2.56807
0.762219,-0.0277706,2.63823
0.770555,-0.272093,2.62297
0.774864,-0.347034,2636
0.395121,-0.153131,2.65532
0.339135,-0.589516,2.60785
0.362781,-0.954705,2.74466
0.342809,-1.03996,2.7014
0.547052,-0.152984,2.59879
0.588864,-0.605268,2.69609
0.573602,-0.987508,2.76201
0.613885,-1.08641,2.72485
0.456606,-0.0708197,2.62712
0.4548,-0.0102956,2.61446
0.445164,0.292501,2.56627
0.350547,0.470995,2.49566
0.28839,0.217908,2.68904
0.26077,-0.0118137,2.7883
0.197782,-0.232113,2.74432
0.191646,-0.297743,2.73217
0.621315,0.227977,2.57879
0.757944,-0.0244886,2.65736
0.778562,-0.261706,2.65621
0.784647,-0.341837,2.67859
0.384252,-0.150933,2.66612
0.31927,-0.587674,2.63042
0.347792,-0.954706,2.76412
0.322388,-1.01845,2.69781
0.533466,-0.149435,2.60977
0.577194,-0.599925,2.69201
0.571105,-0.979014,2.75969
0.608001,-1.07705,2.71804
0.443251,-0.0669029,2.63877
0.4423,-0.00672179,2.6257
0.436559,0.2946,2.5756
0.339707,0.473493,2.50677
0.274139,0.220447,2.70081
0.250237,-0.0148925,2.79534
0.193137,-0.23526,2.75133
0.188051,-0.299112,2.73797
0.611531,0.230589,2.58981
0.753277,-0.0216567,2.6712
0.782284,-0.2573,2.67475
0.788302,-0.340345,2.69556
0.369733,-0.14787,2.67831
0.305207,-0.585986,2.64871
0.329316,-0.948028,2.79944
0.303192,-1.04479,2.77016
0.519353,-0.145794,2.62177
0.567078,-0.594082,2.68898
0.569538,-0.971319,2.75766
0.605207,-1.07025,2.7147
0.430102,-0.064626,2.64966
0.429471,-0.00452491,2.63645
0.425834,0.296286,2.58529
0.328502,0.473717,2.51513
0.26146,0.222627,2.71028
0.23949,-0.0178645,2.80177
0.186906,-0.240496,2.76292
0.183959,-0.300987,2.74457
0.597934,0.232437,2.60181
0.745855,-0.0174516,2.68401
0.78418,-0.254315,2.68889
0.791267,-0.333005,2.71328
0.355897,-0.146112,2.69005
0.293594,-0.585308,2.67091
0.318532,-0.948329,2.82174
0.291541,-1.06181,2.82662
0.506009,-0.143823,2.63238
0.557873,-0.588208,2.68717
0.568476,-0.965984,2.75606
0.603757,-1.06563,2.71273
0.416131,-0.062586,2.66028
0.415503,-0.00262415,2.64692
0.412166,0.297373,2.59484
0.309652,0.474348,2.52418
0.2452,0.224852,2.7213
0.226003,-0.0213136,2.80938
0.181158,-0.246226,2.77445
0.177312,-0.303014,2.75374
0.585774,0.233558,2.61204
0.735693,-0.013448,2.6952
0.784632,-0.241449,2.7233
0.793739,-0.32218,2.73349
0.341258,-0.14466,2.70186
0.285193,-0.589345,2.70169
0.309768,-0.955239,2.84489
0.287703,-1.06861,2.85278
0.492654,-0.142305,2.64257
0.549662,-0.585369,2.68734
0.567669,-0.962309,2.75497
0.602908,-1.06219,2.71148
0.40233,-0.0608574,2.67026
0.400325,-0.000879569,2.65742
0.387082,0.29917,2.60869
0.289879,0.475401,2.53342
0.225383,0.228535,2.73431
0.207194,-0.0270195,2.81995
0.173986,-0.253377,2.78515
0.170409,-0.304817,2.76299
0.567939,0.236816,2.62596
0.719248,-0.0105628,2.70394
0.784766,-0.237297,2.73612
0.794043,-0.317465,2.74515
0.328505,-0.143864,2.71256
0.282644,-0.592736,2.72155
0.30573,-0.961549,2.86368
0.289354,-1.07068,2.86105
0.480904,-0.141212,2.65101
0.542433,-0.583392,2.68799
0.567038,-0.959737,2.75411
0.602416,-1.05954,2.7104
0.387397,-0.0617155,2.68189
0.384248,-0.00167976,2.66919
0.366197,0.298795,2.62032
0.268638,0.474351,2.5427
0.204453,0.22631,2.74641
0.190041,-0.0307585,2.82774
0.163378,-0.259737,2.79718
0.161455,-0.308424,2.7738
0.538025,0.241411,2.63991
0.701605,-0.0089212,2.71174
0.782645,-0.234321,2.74405
0.791807,-0.313601,2.75249
0.317325,-0.144578,2.72227
0.283979,-0.596124,2.74473
0.305079,-0.969269,2.87656
0.286459,-1.07405,2.87703
0.465456,-0.141461,2.66381
0.536674,-0.58188,2.68876
0.566535,-0.957792,2.75339
0.602087,-1.05765,2.70979
0.376941,-0.0630738,2.68997
0.372908,-0.00291857,2.67728
0.350047,0.298358,2.62826
0.248883,0.472972,2551
0.189244,0.224235,2.75477
0.176366,-0.032087,2.83321
0.143406,-0.262884,2.81319
0.151144,-0.312911,2.78606
0.513443,0.242056,2.64853
0.68236,-0.00756984,2.72005
0.771729,-0.233327,2.74753
0.780713,-0.311284,2.75771
0.309026,-0.145892,2.72992
0.284949,-0.598479,2.75994
0.305907,-0.975833,2.8845
0.290678,-1.07329,2.87696
0.455402,-0.141686,2.6718
0.532686,-0.580969,2.68924
0.56608,-0.956439,2.75276
0.601861,-1.05631,2.7093
0.364576,-0.0653876,2.69997
0.358976,-0.00493897,2.68757
0.327061,0.298584,2.64005
0.230715,0.472444,2.55889
0.163215,0.215195,2.76615
0.164192,-0.0321727,2.8379
0.129989,-0.26391,2.8242
0.139657,-0.319526,2.80169
0.494858,0.242289,2.65427
0.658462,-0.00577216,2.72634
0.740382,-0.227835,2.73986
0.763331,-0.309609,2.75738
0.298021,-0.149494,2.74124
0.285503,-0.59982,2.77003
0.307429,-0.980941,2.88951
0.296512,-1.07213,2.86637
0.445253,-0.142193,2.67999
0.529238,-0.580362,2.68966
0.565707,-0.95546,2.75221
0.601815,-1.05481,2.70806
0.355817,-0.0675705,2.70726
0.34929,-0.00683025,2.69476
0.312638,0.298222,2.64665
0.211565,0.469471,2.56436
0.150742,0.210773,2.77207
0.15405,-0.032471,2.84286
0.118434,-0.264682,2.83166
0.129093,-0.323681,2.81192
0.48002,0.242106,2.65865
0.642518,-0.00635438,2.72987
0.708214,-0.230016,2.72606
0.719702,-0.302364,2.7344
0.291182,-0.152087,2.74856
0.284747,-0.600844,2.77796
0.309149,-0.984752,2.89212
0.303755,-1.07138,2.85687
0.437001,-0.142836,2.6871
0.524795,-0.580175,2.69064
